gismu,freq,inflation,meaning
vrusi,81,,taste
vukro,12,,Ukrainian
xabju,633,,dwell
xadba,56,,half
xadni,210,,body
xagji,109,,hunger
xagri,5,,reed
xajmi,176,,funny
xaksu,107,,use up
xalbo,32,,levity
xalka,60,,alcohol
xalni,68,,panic
xamgu,1059,,good
xampo,4,,ampere
xamsi,146,,sea
xance,289,,hand
xanka,171,,nervous
xanri,180,,imaginary
xanto,105,,elephant
xarci,116,,weapon
xarju,30,,pig
xarnu,32,,stubborn
xasli,65,,donkey
xasne,31,,sweat
xatra,147,,letter
xazdo,32,,Asiatic
xebni,99,,hate
xebro,11,,Hebrew
xecto,25,,100
xedja,15,,jaw
xekri,380,,black
xelso,68,,Greek
xendo,48,,kind
xenru,111,,regret
xexso,1,,10exp+18
xindo,21,,Hindi
xinmo,4,,ink
xirma,258,,horse
xislu,32,,wheel
xispo,13,,Hispanic
xlali,395,,bad
xlura,152,,influence
xotli,30,,hotel
xrabo,31,,Arabic
xrani,142,,injure
xriso,53,,Christian
xruba,19,,buckwheat
xruki,52,,turkey
xrula,149,,flower
xruti,524,,return
xukmi,54,,chemical
xunre,683,,red
xurdo,3,,Urdu
xusra,380,,assert
xutla,20,,smooth
zabna,236,,favorable
zajba,14,,gymnast
zalvi,4,,grind
zanru,336,,approve
zarci,1098,,market
zargu,15,,buttock
zasni,157,,temporary
zasti,648,,exist
zbabu,20,,soap
zbani,6,,bay
zbasu,844,,make
zbepi,28,,pedestal
zdani,1178,,nest
zdile,319,,amusing
zekri,184,,crime
zenba,189,,increase
zetro,3,,10exp+21
zgana,682,,observe
zgike,171,,music
zifre,352,,free
zinki,6,,zinc
zirpu,114,,purple
zivle,5,,invest
zmadu,1355,,more
zmiku,11,,automatic
zukte,617,,act
zumri,186,,maize
zungi,22,,guilt
zunle,210,,left
zunti,72,,interfere
zutse,347,,sit
zvati,1218,,at
,,,
,,,
bengo,1,,Bengali
filso,1,,Palestinian
jordo,1,v,Jordanian
sabnu,1,,cabin
sirxo,1,,Syrian
terto,1,,10exp+12
xexso,1,,10exp+18
fanri,2,,factory
meljo,2,,Malaysian
panje,2,,sponge
saclu,2,,decimal
brazo,3,,Brazilian
