section_id,freq,sign,actual,actual_breakdown,canon,canon_breakdown,canon_meaning,canon_places,new,new_breakdown
4,1,?*,vectro,*UNKNOWN*+control,,,,,,
4,1,?*,veljio,4th-place-of+*UNKNOWN*,,,,,,
4,9,?*,velsigne,4th-place-of+*UNKNOWN*,,,,,,
4,2,?!*,vemsia,*UNKNOWN*+*UNKNOWN*,,,,,,
4,5,?*,vemspaci,*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,venkonto,sell+*UNKNOWN*,,,,,,
4,8,?*,vensaspa,sell+*UNKNOWN*,,,,,,
4,2,?*,verkinto,child+*UNKNOWN*,,,,,,
4,7,?*,vermente,child+*UNKNOWN*,,,,,,
4,1,?*,vernante,child+*UNKNOWN*,,,,,,
4,1,?*,visvalza,*see+*UNKNOWN*,,,,,,
4,1,?*,voglio,*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,volgende,flight+*UNKNOWN*,,,,,,
4,4,?*,vortordo,door+*UNKNOWN*,,,,,,
4,2,?*,vostre,*UNKNOWN*+meter,,,,,,
4,1,?*,vostunta,*UNKNOWN*+poke,,,,,,
4,3,?*,votsotsa,**UNKNOWN*+*UNKNOWN*,,,,,,
4,15,?*,vrania,lever+*UNKNOWN*,,,,,,
4,1,?*,xandzimarku,*hand+low+*UNKNOWN*,,,,,,
4,1,?*,xomnecmi,*UNKNOWN*+*UNKNOWN*,,,,,,
4,2,?*,xomski,*UNKNOWN*+describe,,,,,,
4,1,?*,zabriskie,*UNKNOWN*+rice+*UNKNOWN*,,,,,,
4,1,?*,zavcko,**UNKNOWN*+soak-up,,,,,,
4,1,?*,zavlei,*UNKNOWN*+class,,,,,,
4,2,?*,zavmalcko,*UNKNOWN*+derogative+soak-up,,,,,,
4,1,?!*,zdague,nest+*UNKNOWN*,,,,,,
4,1,?*,zdague,nest+*UNKNOWN*,,,,,,
4,3,?*,zektri,*UNKNOWN*+attract,,,,,,
4,1,?*,zertanli,crime+*UNKNOWN*,,,,,,
4,1,?*,zertanlu,crime+*UNKNOWN*,,,,,,
4,3,?*,zunsolru,interfere+*UNKNOWN*,,,,,,
4,1,?*,zvezda,*UNKNOWN*+nest,,,,,,
4,1,?*,zvijezda,*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,zvizda,*UNKNOWN*+nest,,,,,,
4,1,?*,zvuzyxru,*UNKNOWN*+return,,,,,,
4,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
5,,,,,,,,,,
5,,,,,,,,,,
5,2,=,baltia,great+*UNKNOWN*,,,,,,
5,4,=,bardzo,out+*UNKNOWN*,,,,,,
5,1,=,bedbarta,crew+*UNKNOWN*,,,,,,
5,3,=,bedkua,*crew+*UNKNOWN*,,,,,,
5,6,=,beldygoi,*UNKNOWN*+*UNKNOWN*,,,,,,
5,4,=,berlanga,north+*UNKNOWN*,,,,,,
5,1,=,betgoi,*tragedy+*UNKNOWN*,,,,,,
5,2,=,bicfregoi,bee+fertile+*UNKNOWN*,,,,,,
5,4,=,biftcidi,breeze+*UNKNOWN*,,,,,,
5,1,=,bilbiu,military+*UNKNOWN*,,,,,,
5,1,=,bilmuo,military+*UNKNOWN*,,,,,,
5,2,=,blekue,weak+*UNKNOWN*,,,,,,
5,1,=,blukua,blood+*UNKNOWN*,,,,,,
5,3,=,borcpu,#NAME?,,,,,,
5,6,=,borcte,#NAME?,,,,,,
5,2,=,borsta,#NAME?,,,,,,
5,2,=,borste,#NAME?,,,,,,
5,12,=,bortcidi,-+*UNKNOWN*,,,,,,
5,35,=,bragarsuo,big+rail+*UNKNOWN*,,,,,,
5,1,=,brimiu,predicate+*UNKNOWN*,,,,,,
5,1,=,britetri,predicate+*UNKNOWN*,,,,,,
5,2,=,brudysua,*UNKNOWN*+*UNKNOWN*,,,,,,
5,3,=,bufklini,*UNKNOWN*+*UNKNOWN*,,,,,,
5,3,=,buftcidi,*UNKNOWN*+*UNKNOWN*,,,,,,
5,6,=,bufyfitprano,*UNKNOWN*+offer+*UNKNOWN*,,,,,,
5,1,=,cakfia,shell+*UNKNOWN*,,,,,,
5,3,=,calsia,space+*UNKNOWN*,,,,,,
